Phone Brand,Phone Model,SKU Code,Upcoming Series,Released Date,Phone Price,item_height,item_length,item_width,MRP,SELLING PRICE
Acer,Acer Liquid Z530,ACRLQDZ530UCASE,,10/15,"Rs. 6,999.00",0.89,14.4,7.03,699,599
Acer,Acer Liquid Z630,ACRLQDZ630UCASE,,09/15,"Rs. 7,699.00",0.89,15.63,7.75,699,599
Acer,Acer Liquid Z630S,ACRLQDZ630SUCASE,946,09/15,"Rs. 8,999.00",0.89,15.63,7.75,699,599
Alcatel,Alcatel One Touch Flash 2,ALCOTF2UCASE,946,09/15,"Rs. 8,832.00",0.89,14.58,7.04,699,599
Apple,Apple iPhone 4/4S,IPHONE4SUCASE,1,10/11,"Rs. 14,995.00",0.93,11.52,5.86,699,599
Apple,Apple iPhone SE,IPHONESEUCASE,,03/16,"Rs. 35,924.00",0.76,12.38,5.86,1185,899
Apple,Apple iPhone 5/5S,IPHONE5SUCASE,1,09/12,"Rs. 21,499.00",0.76,12.38,5.86,799,699
Apple,Apple iPhone 5C,IPHONE5CUCASE,1,09/13,"Rs. 19,999.00",0.9,12.44,5.92,799,699
Apple,Apple iPhone 6,IPHONE6UCASE,1,09/14,"Rs. 38,499.00",0.69,13.81,6.7,1199,999
Apple,Apple iPhone 6S,IPHONE6SUCASE,483,09/14,"Rs. 48,499.00",0.71,13.83,6.71,1185,1085
Apple,Apple iPhone 6 Plus,IPHONE6PUCASE,1,09/14,"Rs. 40,999.00",0.71,15.81,7.78,1185,999
Apple,Apple iPhone 6S Plus,IPHONE6SPUCASE,1,09/15,"Rs. 50,999.00",0.73,15.82,7.79,1185,1085
Apple,Apple iPod Touch (5th generation),IPODT5UCASE,1,10/12,"Rs. 17,599.00",0.61,12.34,5.86,699,599
Apple,Apple iPod Touch (6th Generation),IPODT6UCASE,1,07/15,"Rs. 16,699.00",0.61,12.34,5.86,999,899
Asus,Asus Zenfone 2,ASUSZF2UCASE,132,01/15,"Rs. 14,999.00",1.09,15.25,7.72,799,699
Asus,Asus ZENFONE 2 LASER ZE500KL,ASUSZF2LZE500KLUCASE,,08/15,"Rs. 15,000.00",1.05,14.37,7.15,799,699
